"","c__Clostridia","f__Lachnospiraceae","f__Oscillospiraceae","f__Ruminococcaceae","f__Veillonellaceae","g__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_eligens_group","g__[Eubacterium]_hallii_group","g__[Eubacterium]_ruminantium_group","g__[Ruminococcus]_gauvreauii_group","g__[Ruminococcus]_gnavus_group","g__[Ruminococcus]_torques_group","g__Acidaminococcus","g__Actinomyces","g__Agathobacter","g__Alistipes","g__Anaerostipes","g__Bacteroides","g__Bifidobacterium","g__Bilophila","g__Blautia","g__Butyricicoccus","g__Butyricimonas","g__Catenibacterium","g__Christensenellaceae_R-7_group","g__Clostridia_UCG-014","g__Clostridia_vadinBB60_group","g__Clostridium_sensu_stricto_1","g__Colidextribacter","g__Collinsella","g__Coprococcus","g__Dialister","g__Dorea","g__Escherichia-Shigella","g__Faecalibacterium","g__Flavonifractor","g__Fusicatenibacter","g__Fusobacterium","g__GCA-900066575","g__Haemophilus","g__Holdemanella","g__Howardella","g__Incertae_Sedis","g__Intestinibacter","g__Lachnoclostridium","g__Lachnospira","g__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group","g__Lachnospiraceae_UCG-004","g__Marvinbryantia","g__Methanobrevibacter","g__Mitsuokella","g__Monoglobus","g__NK4A214_group","g__Odoribacter","g__Oscillibacter","g__Parabacteroides","g__Paraprevotella","g__Parasutterella","g__Peptoniphilus","g__Prevotella","g__Romboutsia","g__Roseburia","g__Ruminococcus","g__Slackia","g__Streptococcus","g__Subdoligranulum","g__Sutterella","g__Turicibacter","g__UCG-002","g__UCG-003","g__UCG-005","g__UCG-010","g__uncultured","g__Veillonella","o__Lactobacillales","o__Oscillospirales","s__[Clostridium]_leptum","s__[Eubacterium]_siraeum","s__Alistipes_obesi","s__Alistipes_shahii","s__Alistipes_sp.","s__Anaerostipes_hadrus","s__bacterium_YE57","s__Bacteroidaceae_bacterium","s__Bacteroides_stercoris","s__Bacteroides_vulgatus","s__Campylobacter_hominis","s__Clostridium_sp.","s__Dorea_longicatena","s__Eubacterium_ramulus","s__Fusobacterium_mortiferum","s__gut_metagenome","s__human_gut","s__Lachnospiraceae_bacterium","s__Massiliprevotella_massiliensis","s__Megasphaera_elsdenii","s__metagenome","s__Parabacteroides_merdae","s__Prevotella_bivia","s__Prevotella_buccalis","s__Prevotella_corporis","s__Prevotellaceae_bacterium","s__Trichuris_trichiura","s__uncultured_Alistipes","s__uncultured_bacterium","s__uncultured_Blautia","s__uncultured_Clostridium","s__uncultured_Desulfovibrionaceae","s__uncultured_Dorea","s__uncultured_Eubacterium","s__uncultured_Lachnospiraceae","s__uncultured_marine","s__uncultured_organism","s__uncultured_prokaryote","s__uncultured_Roseburia","s__uncultured_rumen","s__uncultured_Veillonellaceae","s__unidentified","Unassigned"
"c__Clostridia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f__Lachnospiraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00322219005336961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0188557249335409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f__Oscillospiraceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f__Ruminococcaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00807723127490819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"f__Veillonellaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g__[Eubacterium]_coprostanoligenes_group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g__[Eubacterium]_eligens_group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g__[Eubacterium]_hallii_group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0333632260348329,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0371052849583925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0246708079720861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"g__[Eubacterium]_ruminantium_group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00216557101775973,NA,NA,NA,NA,NA,NA
"g__[Ruminococcus]_gauvreauii_group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
