"","s__Streptococcus_mitis","s__Streptococcus_salivarius","s__Streptococcus_parasanguinis","s__Streptococcus_oralis","s__Rothia_mucilaginosa","s__Neisseria_mucosa","s__Haemophilus_parainfluenzae","s__Neisseria_sicca","s__Streptococcus_infantis","s__Schaalia_odontolytica","s__Prevotella_melaninogenica","s__Actinomyces_sp._ICM47","s__Gemella_haemolysans","s__Streptococcus_sanguinis","s__Actinomyces_graevenitzii","s__Streptococcus_pseudopneumoniae","s__Streptococcus_sp._263_SSPC","s__Veillonella_atypica","s__Haemophilus_parahaemolyticus","s__Prevotella_histicola","s__Streptococcus_cristatus","s__Streptococcus_pneumoniae","s__Neisseria_subflava","s__Streptococcus_australis","s__Veillonella_dispar","s__Gemella_sanguinis","s__Haemophilus_haemolyticus","s__Streptococcus_sp._oral_taxon_431","s__Streptococcus_rubneri","s__Streptococcus_vestibularis","s__Streptococcus_sp._M334","s__Prevotella_pallens","s__Lancefieldella_parvula","s__Prevotella_jejuni","s__Streptococcus_gordonii","s__Granulicatella_adiacens","s__Actinomyces_bouchesdurhonensis","s__Veillonella_parvula","s__Veillonella_rogosae","s__Actinomyces_oris","s__Haemophilus_sputorum","s__Rothia_sp._HMSC065C12","s__Streptococcus_sp._HSISS2","s__Rothia_dentocariosa","s__Streptococcus_timonensis","s__Lautropia_mirabilis","s__Streptococcus_sp._HMSC067H01","s__Streptococcus_sp._Marseille_Q3533","s__Rothia_sp._HMSC072B04","s__Veillonella_tobetsuensis","s__Alloprevotella_tannerae","s__Neisseria_sp._HMSC071A01","s__Megasphaera_micronuciformis","s__Neisseria_meningitidis","s__Alloprevotella_sp._oral_taxon_473","s__Prevotella_salivae","s__Streptococcus_sp._UMB0029","s__Solobacterium_moorei","s__Peptostreptococcus_stomatis","s__Veillonella_nakazawae","s__Streptococcus_sp._F0442","s__Streptococcus_sp._HPH0090","s__Prevotella_intermedia","s__Rothia_aeria","s__Streptococcus_sp._HMSC034E03","s__Streptococcus_anginosus","s__Veillonella_sp._oral_taxon_158","s__Streptococcus_sp._XMC","s__Rothia_sp._HMSC062F03","s__Actinomyces_sp._ICM58","s__Leptotrichia_wadei","s__Mogibacterium_diversum","s__Actinomyces_sp._oral_taxon_172","s__Porphyromonas_somerae","s__Porphyromonas_sp._oral_taxon_279","s__Porphyromonas_bobii","s__Neisseria_flavescens","s__Rothia_sp._HMSC072E10","s__Candidatus_Nanosynbacter_sp._HMT_352","s__Parvimonas_micra","s__Prevotella_vespertina","s__Porphyromonas_sp._KLE_1280","s__Prevotella_nanceiensis","s__Fusobacterium_pseudoperiodonticum","s__Streptococcus_sp._HMSC074B11","s__Abiotrophia_sp._HMSC24B09","s__Streptococcus_sp._SK140","s__Prevotella_sp._oral_taxon_306","s__Neisseria_sp._oral_taxon_014","s__Streptococcus_sp._HMSC061D10","s__Veillonella_sp._S13053_19","s__Haemophilus_influenzae","s__Streptococcus_sp._HMSC056C01","s__Lachnoanaerobaculum_saburreum","s__Leptotrichia_sp._oral_taxon_218","s__Alloprevotella_rava","s__Haemophilus_paraphrohaemolyticus","s__Streptococcus_sp._1001283B150225_161107_H12","s__Actinomyces_naeslundii","s__Schaalia_sp._ORNL0103","s__Streptococcus_sp._Marseille_Q6470","s__Streptococcus_sp._343_SSPC","s__Porphyromonas_pasteri","s__Porphyromonas_endodontalis","s__Campylobacter_concisus","s__Leptotrichia_sp._oral_taxon_417","s__Oribacterium_sinus","s__Streptococcus_sp._Marseille_Q0941","s__Streptococcus_sp._HMSC062D07","s__Aggregatibacter_segnis","s__Streptococcus_sp._A12","s__Fusobacterium_periodonticum","s__Streptococcus_sp._Marseille_Q4154","s__Gemella_morbillorum","s__Fusobacterium_nucleatum","s__Streptococcus_intermedius","s__Granulicatella_sp._HMSC30F09","s__Veillonella_sp._CLA_AA_H247","s__Haemophilus_sp._Marseille_Q0026","s__Leptotrichia_sp._oral_taxon_215","s__Leptotrichia_sp._oral_taxon_221","s__Streptococcus_sp._oral_taxon_061","s__Aggregatibacter_sp._2125159857","s__Abiotrophia_defectiva","s__Aggregatibacter_sp._oral_taxon_458","s__Candidatus_Nanosynbacter_sp._TM7_057","s__Lachnoanaerobaculum_orale","s__Actinomyces_sp._S6_Spd3","s__Candidatus_Nanosynbacter_sp._TM7_008","s__Candidatus_Nanosynbacter_sp._TM7_076","s__Actinomyces_sp._oral_taxon_181","s__Actinomyces_sp._ph3","s__Candidatus_Nanosynbacter_sp._TM7_087","s__Lachnoanaerobaculum_sp._ICM7","s__Candidatus_Nanosynbacter_sp._TM7_075","s__Candidatus_Nanosynbacter_sp._TM7_053","HMDB0302405","HMDB0013751","HMDB0011749","HMDB0031604","HMDB0245980","HMDB0246022","HMDB0253411","HMDB0000162","HMDB0243969","HMDB0000883","HMDB0031502","HMDB0033910","HMDB0000262","HMDB0040582","HMDB0000267","HMDB0034244","HMDB0000064","HMDB0061918","HMDB0000562","HMDB0000034","HMDB0038998","HMDB0060503","HMDB0004827","HMDB0246595","HMDB0001161","HMDB0000070","HMDB0032538","HMDB0000132","HMDB0247055","HMDB0252816","HMDB0000177","HMDB0000062","HMDB0001934","HMDB0000205","HMDB0255997","HMDB0302856","HMDB0000239","HMDB0000341","HMDB0247230","HMDB0001046","HMDB0002825","HMDB0001713","HMDB0253018","HMDB0001847","HMDB0030372","HMDB0000904","HMDB0038835","HMDB0060335","HMDB0000201","HMDB0243539","HMDB0034276","HMDB0255976","HMDB0303254","HMDB0012204","HMDB0244166","HMDB0032215","HMDB0011175","HMDB0029051","HMDB0029388","HMDB0038982","HMDB0029042","HMDB0000273","HMDB0246097","HMDB0250631","HMDB0240712","HMDB0000826","HMDB0013988","HMDB0014680","HMDB0029134","HMDB0037543","HMDB0000050","HMDB0028893","HMDB0245878","HMDB0029113","HMDB0028991","HMDB0035473","HMDB0038685","HMDB0029377","HMDB0258433","HMDB0006344","HMDB0256432","HMDB0014583","HMDB0059871","HMDB0000252","HMDB0000706","HMDB0029619","HMDB0001043","HMDB0014341","HMDB0013622","HMDB0000795","HMDB0004610","HMDB0013078","HMDB0252828","HMDB0002183","HMDB0031008","HMDB0029106","HMDB0000594","HMDB0033009","HMDB0031923","HMDB0254033","HMDB0304808","HMDB0072839","HMDB0259275","HMDB0038918","HMDB0254257","HMDB0072871","HMDB0303759","HMDB0011152","HMDB0247415","HMDB0011504","HMDB0011503","HMDB0011507","HMDB0011477","HMDB0011505","HMDB0011475","HMDB0029015","HMDB0253396","HMDB0010382","HMDB0253033","HMDB0015680"
"s__Peptostreptococcus_stomatis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.501235017875599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.948721191980748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0112579554617319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.930027663064393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0264633828418179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Veillonella_nakazawae",0.722400076354892,0.0591233636229249,0.0637145502047127,0.111665254807554,NA,0.224356580946275,NA,NA,NA,0.675330824110097,0.58171898361873,0.688872769928368,0.927521415509316,NA,0.829330291802913,0.648951389473714,NA,0.32032234892038,0.127603825882792,0.27595351389291,NA,0.883739775857552,0.118668117259903,0.174814725654115,0.64317373702211,0.265268441426792,0.820872397299531,0.214938089317581,0.816628024334915,NA,NA,0.275700405730644,0.458399166728931,0.914486094913386,NA,NA,NA,0.333694588889979,NA,NA,0.647064279858748,NA,0.192953319601535,NA,0.0955461671462096,NA,0.460913504803161,0.413007595580112,NA,0.349668514144756,NA,NA,0.51071193834548,0.294499862401773,NA,0.145808218384808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98933187036628,0.33405425598296,NA,0.0252363089936175,NA,NA,0.0080715382146033,0.599187414590813,NA,NA,NA,NA,NA,NA,0.387162642696287,0.456354762348816,NA,NA,NA,NA,NA,0.702353304423432,NA,NA,0.72730131731626,NA,NA,0.188343273676666,NA,NA,NA,0.714805411087655,NA,0.0989829128812378,NA,0.516694468117394,NA,NA,NA,NA,NA,0.59940085701423,0.589504529259483,NA,0.419096922355115,NA,0.268805017058931,0.261897228751683,NA,NA,NA,0.929772345381978,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.692556973552329,0.0280849488934765,0.0170993098600071,0.234441291241589,0.124218403887714,NA,NA,0.000519880671380145,0.00601297996911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Streptococcus_sp._F0442",NA,NA,0.024792549277754,NA,NA,NA,NA,NA,0.44302664259675,NA,NA,NA,NA,NA,0.00125077079060356,NA,0.459059270695972,0.068343290345579,NA,0.258577268098051,NA,NA,NA,0.496459058796346,NA,0.625856417395361,NA,0.598633971896496,0.251485330877264,NA,0.393771004550855,NA,NA,NA,NA,0.397872847400021,NA,NA,NA,NA,NA,NA,NA,NA,0.40455469933298,NA,0.453697439276742,0.799335399523328,NA,NA,NA,NA,NA,NA,NA,0.423770851571618,NA,NA,NA,NA,NA,0.883663766476681,0.808088584400434,NA,NA,NA,NA,0.059398905039142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.528264694610982,NA,NA,NA,NA,NA,NA,0.334395598939009,NA,NA,NA,NA,NA,NA,NA,0.771073462649081,NA,0.166540114629406,NA,NA,0.987359033165349,0.158617817039285,NA,NA,NA,NA,NA,0.580892677499115,0.249422823310516,NA,0.551805286890709,NA,0.39787774804423,NA,NA,NA,0.434876532546953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259264704206111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0270841513234583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Streptococcus_sp._HPH0090",NA,NA,0.096297532006094,NA,0.00139831894970681,NA,NA,0.50415061244632,0.946396878777557,0.0889033994960232,NA,NA,NA,NA,NA,0.0967085628779511,0.195194723750936,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356373417509418,0.629639907911386,NA,NA,NA,NA,NA,NA,NA,0.715785293704027,NA,NA,NA,NA,NA,0.00347578941141671,NA,NA,NA,0.0280937168651218,0.327413786676034,0.560792975935976,0.137368313948302,NA,NA,NA,NA,0.942772003213384,NA,NA,NA,NA,NA,NA,0.883663766476681,NA,0.931960151006172,NA,0.737015222715538,NA,NA,NA,0.000162652820191915,NA,0.359866797359462,NA,NA,NA,NA,NA,0.43128434002467,0.000345298619882683,NA,NA,NA,NA,NA,NA,0.853470823194093,NA,0.414564088704429,NA,0.0480413915037229,0.616245963169819,NA,NA,0.816857598268918,NA,0.655082219058836,NA,0.85609421730087,0.189609474599704,NA,NA,0.582853584853898,0.320985059519108,NA,NA,NA,0.410341561552233,NA,0.838721866532895,0.627869385703216,NA,0.410397309915674,NA,0.989185368902139,NA,NA,NA,0.833002168525905,NA,NA,NA,0.0124555750286665,0.215979503699099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.352911304712399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00293424192069979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0330207977087299,NA,NA,NA,0.0158922633575591,NA,NA,NA,NA,NA,0.102374340738932,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Prevotella_intermedia",NA,NA,NA,0.153897447151344,0.0110664937671934,NA,NA,NA,0.938162497450592,NA,0.404200493780976,NA,NA,0.310708374442817,NA,NA,0.499176003850307,0.361870839242518,NA,0.443733005292411,NA,NA,NA,0.0996920556873448,NA,0.970598244850931,NA,0.430485914503727,0.0719239935391738,NA,NA,0.847799386173285,NA,0.863432832536589,0.136301492111813,0.381522324642662,NA,NA,NA,NA,NA,0.0587328028800519,NA,NA,0.485634918881693,NA,0.124826605758184,0.636339911418264,0.101011237629913,0.961622838485045,0.0838124998736265,NA,0.397825794561019,NA,NA,0.670933080386267,NA,NA,0.501235017875599,NA,0.808088584400434,0.931960151006172,NA,NA,NA,NA,NA,0.603827210958519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210187061725517,NA,0.862318068583921,NA,0.315125358149921,NA,NA,0.193718788295784,NA,NA,NA,NA,NA,0.673825754783504,0.464980726611713,0.569009603973361,NA,0.210946294229919,NA,NA,0.652177869307336,0.71609419946681,NA,NA,NA,NA,NA,0.57184414159756,0.379967311313991,NA,0.921280265665604,NA,0.270061648880733,NA,0.904865197365336,NA,0.288000884294587,NA,NA,NA,NA,0.131616600868544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97401397313945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.972435735217044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0746471267144776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189366730924476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831632462930097,NA,NA,NA,NA,NA,NA,0.0630249755724756,NA,NA,NA,NA,NA,NA,0.309728055447748,NA,NA,0.0606951679831159,NA,NA
"s__Rothia_aeria",NA,NA,NA,0.280509152631374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.424239584830519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.459727564930056,NA,NA,NA,NA,0.0964703348605848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056777629869789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Streptococcus_sp._HMSC034E03",NA,NA,NA,NA,0.0179122417984797,NA,NA,0.242832503190328,0.864896755299439,NA,NA,NA,NA,NA,NA,0.469178679717719,0.679308384533246,NA,NA,NA,NA,NA,NA,0.607200037936952,NA,NA,NA,0.714942480183173,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265195725618849,NA,NA,NA,0.117014040738626,NA,NA,NA,NA,0.650725305018258,0.838242301186537,NA,NA,0.375845992803566,NA,NA,NA,0.237332873003334,0.887638428365005,NA,NA,NA,NA,NA,0.737015222715538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.764628857114525,NA,0.812459714895905,NA,0.955392358153183,NA,0.0346546483850949,0.314215875390429,NA,NA,0.524316745429736,NA,NA,NA,NA,NA,NA,NA,0.6151081449358,NA,NA,NA,NA,NA,NA,0.840295453662436,0.437813721114753,0.562869591472985,NA,NA,0.646900998378473,NA,NA,NA,NA,NA,NA,NA,NA,0.615006731420646,0.0570450539151122,NA,0.0344413340972272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Streptococcus_anginosus",NA,NA,0.0558140880296236,0.96543551859064,NA,0.216476700777247,0.00523757294664546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18662945737036,0.189074849076168,NA,NA,NA,NA,NA,NA,NA,0.0386806386230389,NA,NA,NA,NA,0.152028496551789,NA,NA,NA,0.184659429413262,NA,NA,NA,NA,NA,NA,0.636532598759802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110912481837177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.247346652510499,NA,0.100921540153995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83665048782687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.374466084562864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.348433894163386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13881793657636,NA,NA
"s__Veillonella_sp._oral_taxon_158",0.142452970416831,NA,NA,0.132092757159909,NA,NA,0.0251463200366403,NA,NA,NA,0.501416727326033,0.00468762150359627,NA,NA,NA,0.695182757466473,NA,NA,NA,NA,0.990013635698897,0.139563301046986,NA,NA,0.583116666224957,NA,NA,NA,NA,0.219596440262738,NA,NA,NA,NA,0.531209747594885,NA,NA,NA,0.101701101665248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938565510607174,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98933187036628,NA,NA,NA,NA,NA,0.110912481837177,NA,NA,NA,0.0744116796785393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816742003970039,NA,NA,NA,NA,NA,NA,0.142368569637062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56424048095675,NA,NA,NA,NA,NA,0.347962958886014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Streptococcus_sp._XMC",NA,NA,NA,NA,NA,NA,0.0340690498615033,NA,0.0403363756628434,NA,0.071750568528351,NA,NA,NA,0.0481922107674972,NA,0.0365303770536514,0.0659348625052253,NA,0.0593683415070656,NA,NA,NA,0.366133043169453,0.0462632778799529,0.598705821461128,NA,0.212582836102398,0.280676905773861,NA,NA,0.0678378435737051,0.00477310938141451,0.0334821622382694,NA,NA,NA,0.704739419975567,NA,NA,NA,NA,NA,NA,0.842206655649884,NA,0.353676614480906,0.967447352212884,NA,0.450085198840877,NA,NA,0.0489551678532052,NA,NA,0.147846990835609,NA,NA,NA,0.33405425598296,0.059398905039142,NA,0.603827210958519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576223916280148,NA,NA,NA,NA,0.0917236380641205,NA,0.0350586547730361,NA,NA,NA,NA,NA,NA,0.23124068111655,NA,NA,NA,NA,NA,0.361963402106809,NA,NA,NA,0.364328535006779,NA,NA,0.316023733969607,0.0588115956627089,NA,NA,NA,NA,NA,0.325852255789681,0.512999784671271,NA,0.00415297239641687,NA,0.292475335708857,NA,NA,NA,NA,0.521890915488402,NA,NA,NA,0.538047921202011,NA,NA,NA,NA,0.010630634697274,NA,0.0114712635018317,0.187558135669677,NA,NA,0.271110331837095,NA,0.0392921885362892,0.0495313290453718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.291619481912745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"s__Rothia_sp._HMSC062F03",NA,0.650924197208882,0.0178129061831939,NA,0.133196408936734,0.103189652913608,0.270729161044558,NA,NA,0.00964597521003001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212141197231995,NA,0.769251214696287,NA,NA,NA,NA,NA,0.198227428861512,0.714218445667483,NA,NA,NA,NA,0.0725900867846142,NA,NA,0.86760303625234,NA,NA,NA,NA,0.683328104779816,0.193384596927365,0.0510607013871389,0.143294990349237,NA,0.0299859207650768,NA,NA,NA,NA,NA,0.720434957988584,NA,NA,NA,NA,NA,NA,NA,0.000162652820191915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.255390873195105,NA,NA,0.303932248726334,0.700340566773865,NA,NA,NA,NA,NA,0.822508417192549,0.00142461833755425,NA,0.00215993587381038,NA,NA,NA,NA,NA,0.0142424927722148,NA,NA,NA,NA,0.681106966213713,NA,0.073548893132965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.215137580778468,0.000898990259240456,NA,NA,NA,NA,0.638377600692228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.620794126103145,0.33565286526453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988394039805813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.950018993928869,NA,NA,NA,NA,NA,NA,0.0431936540016083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
